org_id,org_name,address,ward,org_type,contact,description, website ,image
0018,"Urban Ed, Inc.","2041 Martin Luther King Jr Ave SE, Washington, DC 20020",8,career_workforce,(202) 610--2344,"Urban Ed provides technology-focused education, information technology certifications, and workforce development to children, youth, and adults in the DC region. Its programs address early educational gaps and equip residents with marketable technical skills for high-demand IT careers.", https://urbaned.org/ ,https://urbaned.org/wp-content/uploads/2022/01/cropped-UrbanEd_Logo2_highres.png
0019,"Training Grounds, Inc","3526 Stanton Rd SE, Washington, DC 20020",8,career_workforce,(202) 678-8201,Training Grounds offers customized workforce development and career-readiness initiatives designed to empower youth and adults in socioeconomically disadvantaged communities. It collaborates with local partners to deliver specialized skill-building programs in high-growth industries like construction and technology., http://www.traininggroundsdmv.org/ ,https://795.0ce.myftpupload.com/wp-content/uploads/2024/11/TG-Logo2-01-1.png
0020,Run-Hope-Work,"2001 Mississippi Ave SE, Washington, DC 20020",8,career_workforce,(202) 288-8669,Run-Hope-Work supports DC youth and returning citizens by combining physical running training with hands-on construction trade education and job placement. The program uses fitness to build mental resilience while teaching market-ready job skills for long-term career success., http://www.runhopework.org/ ,https://runhopework.org/wp-content/uploads/2022/09/logo.png
0021,Food Jonezi Friendz,"1140 3rd St NE, Washington, DC 20002",6,youth_focused,(202) 800-5351,"Founded in 2015, C. Jonez Nutrition Consulting Services, LLC (DBA Food Jonezi) is a Washington, D.C.-based health and wellness practice offering personalized nutrition counseling, education workshops, and healthy cooking classes. Serving a diverse audience—including Medicaid/Medicare participants, corporations, nonprofits, and government agencies—Food Jonezi has impacted over 9,000+ D.C. residents, facilitated 1,500+ workshops, and participated in 300+ community health fairs. Recognizing the greater need within underserved communities, Food Jonezi Friendz, its nonprofit arm, was launched in 2021 to focus on tackling food insecurity through culturally focused cooking classes, interactive workshops, and nutrition counseling. The nonprofit also introduced the Chef in Training program, equipping adolescents (ages 15-17) with essential food, nutrition, and culinary skills to foster healthier futures.", https://foodjonezifriendz.org ,https://foodjonezifriendz.org/wp-content/uploads/2025/01/Food-Jonezi-Friendz-LOGO-White-2048x770-1-1.png
0022,Southeast Welding Center Inc,"1101 W St SE, Washington, DC 20020",8,career_workforce,(202) 290-1370,"Southeast Welding Center provides hands-on vocational training in welding alongside trauma-informed support services for returning citizens and adults. The program offers technical skills, trade certifications, and job placement assistance to reduce barriers to long-term employment", http://www.seweldingcenter.org/contact-us.html ,http://nebula.wsimg.com/62f89b6b821905e46f620d1342526540?AccessKeyId=06DC67D543379BA3CD63&disposition=0&alloworigin=1
0023,Youth Entrepreneur Institute,"1231 Marion Barry Ave SE, Washington, DC 20020",8,youth_focused,(202) 930-7574,"The Youth Entrepreneur Institute teaches elementary through high school students foundational business skills by integrating hands-on STEAM, creative arts, and entrepreneurship. Students learn to draft business plans, create products, and launch their own small ventures or social enterprises.", https://www.yeidc.org/contact-us/ ,https://images.squarespace-cdn.com/content/v1/59d3fcc90abd042576ad8384/1583334037637-MVKQIPJ4OPJDU41589H8/YEI_LOGO.png?format=1500w
0024,Reformation Church Food Pantry,"212 E Capitol St NE, Washington, DC 20003",6,food_bank,(202) 543-4200,"Operating out of Lutheran Church of the Reformation on Capitol Hill, this food pantry provides emergency groceries to local individuals and families in need. It collaborates with area partners to ensure accessible nutrition and reduce hunger across the neighborhood.", http://www.reformationdc.org ,
0025,Father McKenna Center - Food Distribution Center,"19 I St NW, Washington, DC 20001",6,food_bank,(202) 842-1112,"Located on the campus of Gonzaga College High School, the Father McKenna Center supports men experiencing homelessness and low-income families in DC. Its food distribution program offers a walk-in food pantry and daily meals to tackle food insecurity directly.", https://fathermckennacenter.org/food-pantry/ ,
0026,Marshall Heights Community Development Org.,"3939 Benning Rd NE, Washington, DC 20019",7,social_welfare,(202) 396-1200,"Marshall Heights Community Development Corporation works to improve the housing, economic, and social well-being of Ward 7 residents. It drives neighborhood revitalization through affordable housing development, small business support, and family counseling services.",,
0027,Life Pieces To Masterpieces,"5600 Eads St NE, Washington, DC 20019",7,social_welfare,(202) 399-7703,"Life Pieces To Masterpieces is an arts-based youth development organization dedicated to supporting Black boys and young men in DC’s Wards 7 and 8. Through artistic expression, academic support, and character building, the program helps young men discover their purpose and become leaders.",,
0028,Advisory Neighborhood Commision 7B,"3842 Alabama Ave SE, Washington, DC 20020",7,adv_neighborhood_commission,N/A,"ANC 7B is an elected local government body representing residents in Ward 7 neighborhoods like Naylor Gardens, Hillcrest, and Penn Branch. It advises DC government agencies and the Mayor on local zoning, safety, development, and community issues.",,
0029,Advisory Neighborhood Commision 7C,"540 55th St NE, Washington, DC 20019",7,adv_neighborhood_commission,N/A,"ANC 7C is a local advisory body representing Ward 7 neighborhoods including Deanwood, Burrville, and Lincoln Heights. The commission serves as a bridge between residents and city officials on matters concerning local development, public safety, and infrastructure.",,
0030,Advisory Neighborhood Commision 7D,"3700-3770 Benning Rd NE, Washington, DC 20019",7,adv_neighborhood_commission,N/A,"ANC 7D represents residents in Ward 7 communities such as Kenilworth, Parkside, Mayfair, and Eastland Gardens. It advocates for neighborhood interests regarding local traffic, public spaces, commercial development, and city services.",,
0031,Advisory Neighborhood Commision 7E,"5341 C St SE, Washington, DC 20019",7,adv_neighborhood_commission,N/A,"ANC 7E represents Ward 7 communities including Marshall Heights, Capitol View, and Benning Ridge. The commission brings local neighborhood perspectives directly to city officials regarding housing, public safety, and transportation planning.",,
0032,Advisory Neighborhood Commision 7F,"100 Stoddert Pl, Washington, DC 20019",7,adv_neighborhood_commission,N/A,"ANC 7F represents Ward 7 residents in neighborhoods such as Fort Dupont, Benning Heights, and parts of River Terrace. It gathers neighborhood input to advise DC government officials on public policy, local development, and municipal resources.",,
0033,Deanwood Citizens Association,"1350 49th St NE, Washington, DC 20019",7,adv_neighborhood_commission,info@deanwoodcitizens.org,"Founded in 1912, this is the civic association for the Deanwood neighborhood in far Northeast Washington, DC (Ward 7). It's a civic organization founded in 1912 by concerned neighbors, with a history deeply intertwined with the development of the Deanwood neighborhood. It advocates for residents on issues like housing, safety, and city services and holds monthly public meetings",,
0034,Dupont Park Civic Association,"Fort Dupont Dr SE, Washington, DC 20019",7,adv_neighborhood_commission,N/A,"A neighborhood civic group representing Dupont Park, a residential community in Southeast DC (Ward 7) near Fort Dupont Park. It works on local quality-of-life issues and liaises with city agencies and elected officials on behalf of residents.",,
0035,Fairlawn Citizens Association,"1800 Marion Barry Ave. SE, Washington, DC 20020",7,adv_neighborhood_commission,Fairlawndc@gmail.com,"The civic association for the Fairlawn neighborhood, a small residential area in Southeast DC near the Anacostia River and Fort Dupont Park (Ward 7/8 border area). It focuses on neighborhood improvement, safety, and resident advocacy.",,
0036,Hillcrest Community Civic Association,"3100 Denver St SE, Washington, DC 20020",7,adv_neighborhood_commission,concern@hillcrestdc.com,"Represents Hillcrest, a residential neighborhood in Ward 7 known for its hilltop views and single-family homes. The association addresses local development, safety, and community engagement issues for Hillcrest residents.",,
0037,Marshall Heights Civic Association,"5001 Central Ave SE, Washington, DC 20019",7,adv_neighborhood_commission,202-854-9491,"Formed in the late 1940s to unify the community's voice and demand needed city services, resulting in the construction of sidewalks, sewage, and storm drainage systems, and utility poles for electricity. Today it serves as a direct conduit to DC elected officials, law enforcement, and emergency responders on quality-of-life issues in the Marshall Heights community (Ward 7).",,
0038,Advisory Neighborhood Commision 8A,"1230 Sumner Rd SE, Washington, DC 20020",8,adv_neighborhood_commission,N/A,"One of the elected Advisory Neighborhood Commissions covering parts of Ward 8 (including areas like Congress Heights/Washington Highlands), made up of single-member district commissioners who advise DC government on local zoning, licensing, and community matters",,
0039,Advisory Neighborhood Commision 8B,"1901 Mississippi Ave SE, Washington, DC 20020",8,adv_neighborhood_commission,N/A,"Covers another section of Ward 8 (including neighborhoods like Bellevue/Washington Highlands), functioning as an elected body representing residents' interests to DC government.",,
0040,Advisory Neighborhood Commision 8C,"4201 Martin Luther King Jr Ave SW, Washington, DC 20032",8,adv_neighborhood_commission,N/A,"Represents a Ward 8 section that includes neighborhoods such as Historic Anacostia and Fairlawn, advising on local government issues affecting residents.",,
0041,Advisory Neighborhood Commision 8D,"100 Joliet St, Washington, DC 20032",8,adv_neighborhood_commission,N/A,"Covers a Ward 8 area including neighborhoods like Bellevue and Congress Heights, serving the same advisory role for its constituents.",,
0042,Advisory Neighborhood Commision 8E,"1801 Mississippi Ave SE 1st Floor, Washington, DC 20020",8,adv_neighborhood_commission,N/A,"Represents another portion of Ward 8, providing resident-elected representation on neighborhood issues to the DC government.",,
0043,Advisory Neighborhood Commision 6/8F,"100 Potomac Ave SW, Washington, DC 20024",8,adv_neighborhood_commission,N/A,"A joint single-member district commission spanning parts of Wards 6 and 8, generally covering the Near Southeast/Buzzard Point/South Capitol Street area, reflecting that district's position straddling both wards.",,
0044,Peace Lutheran Church,"4929 Ames St NE, Washington, DC 20019",7,church,(202) 398-5503,"A Lutheran congregation serving the Washington, DC community with worship services and outreach ministries.",,
0045,Edgewood Baptist Church,"3408 C St SE, Washington, DC 20019",7,church,(202) 582-1410,"A Baptist congregation located in the Edgewood/Northeast DC area, offering worship services and community ministry programs.",,
0046,St. John Baptist Church,"5228 Call Pl SE, Washington, DC 20019",7,church,(202) 726-3000,,,
0047,Redeeming Love Outreach Center,"4611 Nannie Helen Burroughs Ave NE, Washington, DC 20019",7,church,(202) 399-0201,, https://www.rlocdc.org/contact/ ,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-19/313099256_3413427605644967_4214744411072733485_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44MzQuYzIifQ&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gEBuSIKz1Wq_LvyVaN9YEhT1OuJJDRb9QqgC2afLwYjSXq41i0lhQXybsMPbZr96kI&_nc_ohc=v-R9UfADLOQQ7kNvwFvu4Jz&_nc_gid=MKJehdSza8TmQBMHUwGZTA&edm=AP4sbd4BAAAA&ccb=7-5&oh=00_AQBuL3ctALvJwriI4_zO_pGIKAq7-kxYvUH6vwArvkbrQw&oe=6A6D58A5&_nc_sid=7a9f4b
0048,Congress Heights Community Association,"3215 Martin L. King Jr. Ave SE Washington, DC 20032",8,adv_neighborhood_commission,N/A,,,
0049,Historic Anacostia Block Association,"2126 15th St SE, Washington, DC 20020",8,adv_neighborhood_commission,N/A,,,
0050,Perfection of the Saints Church,"6041 Dix St NE, Washington, DC 20019",7,church,(202) 396-6417,,,
0051,Tyson Temple First Born Church,"3024 Massachusetts Ave SE, Washington, DC 20019",7,church,(202) 581-2464,,,
0052,God-A Second Chance Ministry,"4411 Bowen Rd SE, Washington, DC 20019",7,church,(202) 575-2191,,,
0053,First Baptist Church of Deanwood,"1008 45th St NE, Washington, DC 20019",7,church,(202) 396-0534,, http://www.thefirstbaptistchurchofdeanwood.org/ ,
0054,Health Alliance Network,"3831 Suitland Rd SE, Washington, DC 20020",7,health_services,Healthalliancenetworkward7@gmail.com,,,
0055,East River Family Strengthening Collaborative,"4020 Minnesota Ave NE, Washington, DC 20019",7,social_welfare,(202) 397-7300,, https://erfsc.org/ ,
0056,Sasha Bruce Youthwork,"745 8th Street, SE Washington, DC 20003",6,youth_focused,(202) 675-9375,,,
0057,Life Deeds,"5035 C St SE Washington, DC 20019",7,social_welfare,(202) 584-0344,,,
0058,Saint Luke Catholic Church,"4925 E Capitol St SE, Washington, DC 20019",7,church,(202) 584-8322,,,
0059,St. Judah Spiritual Baptist Church,"43 Anacostia Rd NE, Washington, DC 20019",,church,(202) 396-4336,, https://stjudahsbc.org/ ,https://stjudahsbc.org/wp-content/uploads/2023/05/cropped-original-logo-softened-1.png?w=740&h=653
0060,St. John CME Church,"2801 Stanton Rd SE, Washington, DC 20020",,church,(202) 678-7788,, https://stjohndc.cmechurches.org/ ,https://stjohndc.cmechurches.org/wp-content/uploads/2023/04/StJohncopy-300x258.png
0061,Johnson Memorial Baptist Church,"800 Ridge Rd SE, Washington, DC 20019",,church,(202) 795-9782,, https://www.jmbchurchdc.org/ ,https://bloqs.s3.amazonaws.com/2061-8811/full_171685_image_editor_result.webp?modified=1694470646
0062,Art All Night The Nicholson Project,"2310 Nicholson St SE, Washington, DC 20020",,arts,N/A,, https://www.thenicholsonproject.org/ ,https://images.squarespace-cdn.com/content/v1/5d93668818c280789b572bfd/1569949638765-ZDQ8GE3J4VA73S0HKW93/TNP_Logo-Outline-RGB_W.png?format=500w
0063,Ward 7 Resilience Hub Community Coalition (RHCC),"3939 Benning Rd. NE, Washington, DC 20019",,social_welfare,(202) 650‑5670,,,
0064,Free DC - Ward 7 Group,"5001 Central Avenue Southeast, Washington, DC 20019",,social_welfare,team@freedcproject.org,,,
0065,Community of Hope - The Commons at Stanton Square,"2375 Elvans Rd SE, Washington, DC 20020",,social_welfare,(202) 540-9857,, https://www.communityofhopedc.org/locations/the-commons-at-stanton-square/ ,https://www.communityofhopedc.org/wp-content/uploads/2023/03/coh-logo-transp.png
0066,FH Faunteroy Center & Resilience Incubator,"4800 Nannie Helen Burroughs Ave NE, Washington, DC 20019",,social_welfare,(202) 397-5454,, http://faunteroycenter.org/ ,https://faunteroycenter.org/wp-content/uploads/2025/02/fh-cri-logo-300-grey.png
0067,H.D. Woodson High School,"540 55th St NE, Washington, DC 20019",,school,(202) 939-2030,, http://profiles.dcps.dc.gov/H.D.+Woodson+High+School ,https://dcpscte.org/wp-content/uploads/2019/04/Woodson.jpg
0068,Kelly Miller Middle School,"301 49th St NE, Washington, DC 20019",,school,(202) 388-6870,, https://www.kellymillerms.org/ ,https://cdnsm5-ss14.sharpschool.com/UserFiles/Servers/Server_93104/Image/kelly%20miller1.jpg
0069,Ron Brown College Preparatory High School,"4800 Meade St NE, Washington, DC 20019",,school,(202) 729-4343,"Ron Brown College Preparatory High School is a public, all-male high school serving grades 9–12 in Washington, DC as part of the District of Columbia Public Schools (DCPS). The school emphasizes college preparation, character development, leadership, and community service, with a mission centered on educating young men of color.", https://www.rbhsmonarchs.org/ ,https://www.rbhsmonarchs.org/pics/header_logo.png
0070,Friendship Collegiate Academy,"4095 Minnesota Ave NE, Washington, DC 20019",,school,(202) 396-5500,"Friendship Collegiate Academy is a public charter high school in Washington, D.C.'s Ward 7 serving students in grades 9–12 as part of the Friendship Public Charter Schools network. Founded in 2000, it is known for its college-preparatory curriculum, Early College opportunities, and competitive athletics, particularly its football program.",Homepage - Friendship Public Charter School,https://www.friendshipschools.org/wp-content/uploads/2017/08/LOGO-HEADER.svg
0071,UPO: Uniting People with Opportunities,"601 Edgewood St NE, Washington, DC 20017",,social_welfare,(202) 529-1376,"United Planning Organization (UPO) is a leading community action agency in Washington, DC, dedicated to fighting poverty and providing opportunities for individuals and families to achieve self-sufficiency. With a focus on education, health, housing, and workforce development, UPO offers a range of programs and services that empower and support the community. From early childhood education and youth services to housing counseling and job training, UPO is committed to creating pathways for individuals to thrive and build a better future.", https://www.upo.org/ ,https://www.upo.org/wp-content/uploads/2024/09/UPO_Logo_FINAL_COLOR.png
0072,East of the River Mutual Aid,"1640 Marion Barry Ave. SE, Washington, DC 20020",,social_welfare,(202)-630-0336,, eormutualaid.org  ,
0073,So Others Might Eat,"71 O St NW, Washington, DC 20001",,food_bank,(202) 797-8806,, http://www.some.org/ ,https://some.org/wp-content/uploads/2022/07/SOME_logo.png
0074,Eastland Gardens Civic Association,"321 Ord St NE, Washington, DC 20019",,adv_neighborhood_commission,(202) 813-0137,, https://www.eastlandgardensdc.org/ ,"https://static.wixstatic.com/media/d79075_30c4c83a941b475a8c617f55ef343eda~mv2.png/v1/fill/w_156,h_160,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Eastland%20Gardens%20Civic%20Association%20Logo%20%20-%20Stylized%20Pink%20Lotus%20Flower.png"
0075,InnerCity Collaborative Community Development Corporation,"5219 Call Pl SE, Washington, DC 20019",,adv_neighborhood_commission,(202) 810-7747,, https://www.innercitycollaborativecdc.org/ ,
0076,,,,,,,,
0077,,,,,,,,
0078,,,,,,,,
0079,,,,,,,,
0080,,,,,,,,
0081,,,,,,,,
0082,,,,,,,,
0083,,,,,,,,
0084,,,,,,,,
0085,,,,,,,,
0086,,,,,,,,
0087,,,,,,,,
0088,,,,,,,,
0089,,,,,,,,
0090,,,,,,,,
0091,,,,,,,,
0092,,,,,,,,
0093,,,,,,,,
0094,,,,,,,,
0095,,,,,,,,
0096,,,,,,,,
0097,,,,,,,,
0098,,,,,,,,
0099,,,,,,,,
0100,,,,,,,,
0101,,,,,,,,
0102,,,,,,,,
0103,,,,,,,,
0104,,,,,,,,
0105,,,,,,,,
0106,,,,,,,,
0107,,,,,,,,
0108,,,,,,,,
0109,,,,,,,,
0110,,,,,,,,
0111,,,,,,,,
0112,,,,,,,,
0113,,,,,,,,
0114,,,,,,,,
0115,,,,,,,,
0116,,,,,,,,
0117,,,,,,,,
0118,,,,,,,,
